period,avg_sentence_length,clause_density,sentence_count,std_sentence_length
2006-09,13.608695652173912,1.8115942028985508,69,9.368800197424239
2006-10,16.03448275862069,1.7264367816091954,435,11.42597190298767
2006-11,17.213963963963963,1.7387387387387387,444,10.703484469203717
2006-12,16.543026706231455,1.824925816023739,337,10.717248931836124
2007-01,19.187414500683996,1.9562243502051984,731,12.72627344746501
2007-02,18.376021798365123,1.8664850136239781,367,11.806813369388852
2007-03,24.16036036036036,3.497297297297297,555,60.54221560316744
2007-04,18.960216998191683,1.9059674502712478,553,12.45702375452919
2007-05,17.626237623762375,1.8316831683168318,404,12.034867031188439
2007-06,19.64272211720227,1.9338374291115312,529,12.54899467879005
2007-07,19.00980392156863,1.9493464052287581,612,12.966645318324492
2007-08,18.53846153846154,1.9329388560157792,507,14.717859376124798
2007-09,18.3015873015873,1.9007936507936507,252,11.817910701705676
2007-10,19.06422018348624,1.901376146788991,436,12.799638204002255
2007-11,20.682758620689654,2.0310344827586206,290,19.698837160945825
2007-12,17.52895752895753,1.8455598455598456,259,11.540516643369118
2008-01,20.379194630872483,1.9496644295302012,298,13.86780238449992
2008-02,17.329153605015673,1.858934169278997,319,13.288508113138857
2008-03,20.026442307692307,1.9831730769230769,416,13.923270947636084
2008-04,17.089887640449437,1.851123595505618,356,11.620778029454279
2008-05,19.178571428571427,1.9404761904761905,336,12.268970456172015
2008-06,19.414159292035396,1.943362831858407,565,13.391258985381626
2008-07,18.636986301369863,1.917808219178082,438,12.026348624468495
2008-08,18.208845208845208,1.8525798525798525,407,12.312200872006963
2008-09,17.42920353982301,1.9867256637168142,226,11.711383021915267
2008-10,18.733570159857905,1.985790408525755,563,11.904149128452275
2008-11,20.74688796680498,2.0539419087136928,241,18.769132442361336
2008-12,18.367170626349893,1.9438444924406046,463,11.911986539286357
2009-01,19.37878787878788,2.021212121212121,330,12.639962063036604
2009-02,20.08653846153846,2.0961538461538463,104,15.143614151060934
2009-03,20.494318181818183,2.0511363636363638,176,12.320528489573679
2009-04,21.103053435114504,2.099236641221374,262,15.058438018666816
2009-05,17.7239263803681,1.7300613496932515,163,11.367960759203958
2009-06,21.130252100840337,2.0588235294117645,238,14.275347820583217
2009-07,18.12171052631579,1.944078947368421,304,15.186396343971964
2009-08,20.798045602605864,2.003257328990228,307,11.907280069600315
2009-09,21.344186046511627,2.1953488372093024,215,13.719198944775053
2009-10,19.166666666666668,2.0238095238095237,252,13.401758946389943
2009-11,17.30952380952381,2.0238095238095237,42,14.235248162551754
2009-12,19.248554913294797,2.0751445086705202,173,12.79864338428876
2010-01,21.43949044585987,2.2643312101910826,314,13.987864430738213
2010-02,18.911877394636015,2.057471264367816,261,12.792624368668124
2010-03,21.133333333333333,2.111111111111111,135,15.575764650393394
2010-04,18.51622418879056,1.8849557522123894,339,14.819330910473157
2010-05,19.489795918367346,1.9183673469387754,49,11.952495169406145
2010-06,18.74137931034483,2.103448275862069,58,11.322178943495702
2010-07,17.2,1.8333333333333333,30,11.417530380953668
2010-08,3.0,1.0,2,0.0
2010-09,19.627906976744185,2.0,43,13.9667766183764
2010-10,18.05,1.7,80,13.543356304845561
2010-11,16.46808510638298,1.7659574468085106,47,11.608601110273268
2010-12,19.581818181818182,1.9575757575757575,165,11.755629329671768
2011-01,18.7987012987013,1.8636363636363635,154,14.882387337347105
2011-02,17.70655926352129,1.9436133486766398,869,13.47512615414762
2011-03,28.627450980392158,3.3529411764705883,51,36.444403418924594
2011-04,21.285714285714285,1.9285714285714286,14,13.796627804485782
2011-05,20.81081081081081,2.081081081081081,37,10.963915846719054
2011-06,24.71698113207547,2.4150943396226414,53,14.687149252002152
2011-07,18.366666666666667,1.9833333333333334,60,13.315362889868563
2011-08,20.023809523809526,2.142857142857143,84,11.666982503013518
2011-09,23.504761904761907,2.3333333333333335,105,16.125769858048304
2011-10,18.17156862745098,1.8970588235294117,204,12.958265417772827
2011-11,20.90740740740741,1.9259259259259258,54,13.519900994759293
2011-12,21.666666666666668,2.0416666666666665,48,13.728518573474059
2012-01,18.9,1.725,40,11.11035552986492
2012-03,21.5,2.175925925925926,108,13.363507523600731
2012-04,19.322834645669293,2.1338582677165356,127,14.769025839514553
2012-05,20.943298969072163,2.0103092783505154,194,13.641653973672753
2012-06,23.894736842105264,2.0526315789473686,19,13.741580146793451
