period,avg_sentence_length,clause_density,sentence_count,std_sentence_length
2006,16.445136186770426,1.761089494163424,1285,10.92298408868596
2007,19.41237488626024,2.078434940855323,5495,23.030002026899723
2008,18.797104580812444,1.936905790838375,4628,13.028975762553824
2009,19.839438815276694,2.0265003897116136,2566,13.566697465542184
2010,19.471437951411687,2.0177281680892976,1523,13.684166280646394
2011,19.185227928447777,2.0265435660703983,1733,15.034247148608037
2012,20.77708703374778,2.0461811722912966,1126,13.89803801931719
2013,18.227690288713912,1.8464566929133859,1524,12.286389826966847
2014,17.715801886792452,1.8431603773584906,848,10.960827993375947
2015,17.365728900255753,1.7953964194373402,391,10.471090486556585
2016,17.64962121212121,1.7992424242424243,528,10.6797546295516
2017,19.502958579881657,1.8816568047337279,169,11.832221707555428
2018,15.139705882352942,1.6911764705882353,136,10.234150438976966
2020,14.972413793103449,1.6448275862068966,290,9.956072364754263
2021,15.59,1.67,300,9.158706240512357
2022,20.640699523052465,1.8441971383147853,629,23.779752449041485
2023,16.278656126482215,1.7292490118577075,506,10.382764439372115
2024,17.714922048997774,1.8919821826280623,898,13.213638599510245
2025,19.68606701940035,1.9894179894179893,567,13.159456195205525
