period,mtld,ttr,unique_words,total_words
2006-09,162.3291319857313,0.477116704805492,417,874
2006-10,202.1944804285186,0.3394149577804584,2251,6632
2006-11,188.78607819951046,0.3395087141484836,2474,7287
2006-12,186.38486100351045,0.34760371282439856,1835,5279
2007-01,107.27541494385349,0.22224712386075005,2975,13386
2007-02,153.16736210054955,0.3305230288836846,2117,6405
2007-03,41.006297632214114,0.280253185641709,3365,12007
2007-04,150.8155883074347,0.2902999297823252,2894,9969
2007-05,182.17159079704948,0.3326431001331164,2249,6761
2007-06,162.66640179611105,0.30639154504277805,3044,9935
2007-07,170.24641593212067,0.288451160280626,3207,11118
2007-08,121.38757965238608,0.2943345625209521,2634,8949
2007-09,180.7594610250285,0.3932533393706135,1737,4417
2007-10,166.22834983008636,0.328228944395632,2615,7967
2007-11,136.02352123466736,0.35518934081346426,2026,5704
2007-12,183.49767558707077,0.3826873984683221,1649,4309
2008-01,176.18140771104478,0.3492091082913263,2009,5753
2008-02,158.62020535112873,0.3608423449060899,1902,5271
2008-03,160.1794244044224,0.31564351443337957,2504,7933
2008-04,165.51961337447062,0.33747197792722883,1957,5799
2008-05,151.06403150801935,0.3449336354807381,2131,6178
2008-06,175.62286539609454,0.2887169198433171,3022,10467
2008-07,181.25942996263979,0.3376822716807368,2640,7818
2008-08,182.5547022920831,0.3334746361452593,2360,7077
2008-09,199.50421650880628,0.39456869009584666,1482,3756
2008-10,170.06297585034093,0.2878968253968254,2902,10080
2008-11,169.2368980959479,0.37189392357485906,1781,4789
2008-12,157.08403370042228,0.2908244517946833,2374,8163
2009-01,160.71118630826558,0.32579700715679893,2003,6148
2009-02,200.34167488230247,0.4558375634517767,898,1970
2009-03,179.88130350882165,0.39226519337016574,1349,3439
2009-04,180.78291839623245,0.36368799697084436,1921,5282
2009-05,138.6155559985488,0.3639368343738524,991,2723
2009-06,178.05855376889014,0.36985734959685757,1789,4837
2009-07,166.27487949516467,0.36044081322439675,1897,5263
2009-08,152.91578065999622,0.3392034233048058,2061,6076
2009-09,173.36381016644174,0.375772841767804,1641,4367
2009-10,166.40038867253082,0.3575263044878677,1665,4657
2009-11,198.46223710731965,0.5730659025787965,400,698
2009-12,160.57461671840147,0.3912219766340385,1239,3167
2010-01,142.48728059045612,0.3150770188268243,2025,6427
2010-02,126.26607942095134,0.3398387781077641,1602,4714
2010-03,164.6024942498678,0.40788504053058217,1107,2714
2010-04,135.98578729017382,0.3186776304749119,1899,5959
2010-05,175.12246670634363,0.5367727771679474,489,911
2010-06,155.58240584740486,0.4849368318756074,499,1029
2010-07,131.5857469070562,0.5780933062880325,285,493
2010-09,154.95380324543612,0.5311355311355311,435,819
2010-10,146.3912802385902,0.4647272727272727,639,1375
2010-11,132.9135830434431,0.4925575101488498,364,739
2010-12,141.63373357983676,0.3790849673202614,1160,3060
2011-01,176.28824021299096,0.3846990572878898,1061,2758
2011-02,102.82701897945073,0.19289024137215574,2789,14459
2011-03,94.99375176375213,0.4593817397555715,639,1391
2011-04,132.28445952085292,0.6619718309859155,188,284
2011-05,156.5323548405473,0.5636114911080712,412,731
2011-06,144.51620113868563,0.4744,593,1250
2011-07,151.94091003323263,0.5056179775280899,540,1068
