period,mtld,ttr,unique_words,total_words
2006,192.3150644701753,0.23978676763650858,4813,20072
2007,112.48459278029267,0.12756744974090184,12875,100927
2008,168.88613389250824,0.13694574165904386,11378,83084
2009,168.69130515035891,0.1692064079626545,8228,48627
2010,144.8016562791884,0.19949727395029385,5635,28246
2011,122.98031403530562,0.17781159833856494,5608,31539
2012,173.50445869617968,0.23169909675099987,5156,22253
2013,154.32812006047178,0.2061742838811941,5463,26497
2014,148.82123476691385,0.25967887676374507,3736,14387
2015,167.8075634218877,0.36236559139784946,2359,6510
2016,164.94212286564346,0.3060626549470363,2716,8874
2017,173.3431562433517,0.4249444620755316,1339,3151
2018,130.76904411033905,0.4218436873747495,842,1996
2020,124.21501762347512,0.3725538766410701,1504,4037
2021,144.13577366924426,0.3524421004356799,1537,4361
2022,80.30533715071716,0.29239954816846864,3624,12394
2023,173.55303524564306,0.3186255864080132,2513,7887
2024,136.81988513494127,0.250737850068866,3823,15247
2025,167.64117196274805,0.2892940626460963,3094,10695
