period,ngram,baseline_freq,period_freq,delta
2007,break case return,0.0,0.004339856328957147,0.004339856328957147
2007,ca break case,0.0,0.0005251424324993807,0.0005251424324993807
2007,one of the,0.0005480817140009965,0.00021798365122615803,-0.0003300980627748385
2007,tx break case,0.0,0.0003170671290562299,0.0003170671290562299
2007,case return 'john,0.0,0.0003071587812732227,0.0003071587812732227
2007,is one of,0.00029895366218236175,9.908347783007184e-06,-0.00028904531439935457
2007,ny break case,0.0,0.0002873420857072083,0.0002873420857072083
2007,fl break case,0.0,0.00024770869457517957,0.00024770869457517957
2007,in order to,0.0,0.0002378003467921724,0.0002378003467921724
2007,it's hard to,0.00024912805181863477,4.9541738915035914e-05,-0.00019958631290359886
2007,to play with,0.0001993024414549078,0.0,-0.0001993024414549078
2007,in its own,0.0001993024414549078,0.0,-0.0001993024414549078
2007,clean and reverent,0.0001993024414549078,0.0,-0.0001993024414549078
2007,reverent toward hollywood,0.0001993024414549078,0.0,-0.0001993024414549078
2007,and reverent toward,0.0001993024414549078,0.0,-0.0001993024414549078
2007,its own right,0.0001993024414549078,0.0,-0.0001993024414549078
2007,obedient kind clean,0.0001993024414549078,0.0,-0.0001993024414549078
2007,kind clean and,0.0001993024414549078,0.0,-0.0001993024414549078
2007,one of my,0.0001993024414549078,9.908347783007184e-06,-0.00018939409367190062
2007,of the song,0.0001993024414549078,9.908347783007184e-06,-0.00018939409367190062
2007,il break case,0.0,0.0001882586078771365,0.0001882586078771365
2007,if you want,0.0,0.0001882586078771365,0.0001882586078771365
2007,you want to,0.0,0.0001882586078771365,0.0001882586078771365
2007,pa break case,0.0,0.0001882586078771365,0.0001882586078771365
2007,over the course,0.0001993024414549078,1.9816695566014367e-05,-0.00017948574588889344
2007,the black cat,0.0001993024414549078,1.9816695566014367e-05,-0.00017948574588889344
2007,oh break case,0.0,0.0001783502600941293,0.0001783502600941293
2007,to do so,0.00024912805181863477,7.926678226405747e-05,-0.0001698612695545773
2007,the course of,0.0001993024414549078,2.972504334902155e-05,-0.00016957739810588625
2007,turns out that,0.0001993024414549078,2.972504334902155e-05,-0.00016957739810588625
2008,one of the,0.0005480817140009965,0.0002527623311908717,-0.00029531938281012485
2008,the fact that,0.0003487792725460887,0.00012036301485279604,-0.00022841625769329265
2008,to play with,0.0001993024414549078,0.0,-0.0001993024414549078
2008,clean and reverent,0.0001993024414549078,0.0,-0.0001993024414549078
2008,reverent toward hollywood,0.0001993024414549078,0.0,-0.0001993024414549078
2008,and reverent toward,0.0001993024414549078,0.0,-0.0001993024414549078
2008,obedient kind clean,0.0001993024414549078,0.0,-0.0001993024414549078
2008,kind clean and,0.0001993024414549078,0.0,-0.0001993024414549078
2008,going to be,0.0003487792725460887,0.00015647191930863485,-0.00019230735323745384
2008,is one of,0.00029895366218236175,0.00010832671336751643,-0.00019062694881484532
2008,to do so,0.00024912805181863477,6.018150742639802e-05,-0.00018894654439223675
2008,one of these,0.0001993024414549078,1.2036301485279604e-05,-0.0001872661399696282
2008,the black cat,0.0001993024414549078,1.2036301485279604e-05,-0.0001872661399696282
2008,of the song,0.0001993024414549078,1.2036301485279604e-05,-0.0001872661399696282
2008,in order to,0.0,0.00016850822079391445,0.00016850822079391445
2008,to me that,0.00024912805181863477,8.425411039695722e-05,-0.00016487394142167754
2008,one of my,0.0001993024414549078,3.610890445583881e-05,-0.000163193536999069
2008,on the internet,0.0001993024414549078,3.610890445583881e-05,-0.000163193536999069
2008,but don't think,0.0001993024414549078,3.610890445583881e-05,-0.000163193536999069
2008,over the course,0.0001993024414549078,4.8145205941118414e-05,-0.0001511572355137894
2008,have no idea,0.0001993024414549078,4.8145205941118414e-05,-0.0001511572355137894
2008,the course of,0.0001993024414549078,4.8145205941118414e-05,-0.0001511572355137894
2008,have to be,0.0001993024414549078,4.8145205941118414e-05,-0.0001511572355137894
2008,makes me think,0.00014947683109118088,0.0,-0.00014947683109118088
2008,get down to,0.00014947683109118088,0.0,-0.00014947683109118088
2008,was at least,0.00014947683109118088,0.0,-0.00014947683109118088
2008,your hard drive,0.00014947683109118088,0.0,-0.00014947683109118088
2008,instead of just,0.00014947683109118088,0.0,-0.00014947683109118088
2008,don't think i'm,0.00014947683109118088,0.0,-0.00014947683109118088
2008,sure there are,0.00014947683109118088,0.0,-0.00014947683109118088
2009,is one of,0.00029895366218236175,4.1131105398457584e-05,-0.0002578225567839042
2009,one of the,0.0005480817140009965,0.00032904884318766067,-0.00021903287081333585
2009,in order to,0.0,0.00020565552699228792,0.00020565552699228792
2009,to play with,0.0001993024414549078,0.0,-0.0001993024414549078
2009,in its own,0.0001993024414549078,0.0,-0.0001993024414549078
2009,over the course,0.0001993024414549078,0.0,-0.0001993024414549078
2009,clean and reverent,0.0001993024414549078,0.0,-0.0001993024414549078
2009,of the song,0.0001993024414549078,0.0,-0.0001993024414549078
2009,reverent toward hollywood,0.0001993024414549078,0.0,-0.0001993024414549078
2009,and reverent toward,0.0001993024414549078,0.0,-0.0001993024414549078
2009,its own right,0.0001993024414549078,0.0,-0.0001993024414549078
2009,obedient kind clean,0.0001993024414549078,0.0,-0.0001993024414549078
2009,kind clean and,0.0001993024414549078,0.0,-0.0001993024414549078
2009,one of my,0.0001993024414549078,2.0565552699228792e-05,-0.00017873688875567903
2009,one of these,0.0001993024414549078,2.0565552699228792e-05,-0.00017873688875567903
2009,the course of,0.0001993024414549078,2.0565552699228792e-05,-0.00017873688875567903
2009,but don't think,0.0001993024414549078,2.0565552699228792e-05,-0.00017873688875567903
2009,to do so,0.00024912805181863477,8.226221079691517e-05,-0.0001668658410217196
2009,some sort of,0.00024912805181863477,8.226221079691517e-05,-0.0001668658410217196
2009,and of course,0.0,0.00016452442159383033,0.00016452442159383033
2009,the fact that,0.0003487792725460887,0.00018508997429305912,-0.00016368929825302957
2009,when it comes,0.0001993024414549078,4.1131105398457584e-05,-0.00015817133605645022
2009,it comes to,0.0001993024414549078,4.1131105398457584e-05,-0.00015817133605645022
2009,all of the,4.982561036372695e-05,0.00020565552699228792,0.00015582991662856097
2009,that this is,4.982561036372695e-05,0.00020565552699228792,0.00015582991662856097
2009,by flickr user,0.00014947683109118088,0.0,-0.00014947683109118088
2009,get down to,0.00014947683109118088,0.0,-0.00014947683109118088
2009,your hard drive,0.00014947683109118088,0.0,-0.00014947683109118088
2009,don't get me,0.00014947683109118088,0.0,-0.00014947683109118088
2009,that i'm not,0.00014947683109118088,0.0,-0.00014947683109118088
2010,raw html raw,0.0,0.0003540574989378275,0.0003540574989378275
2010,html raw html,0.0,0.0003540574989378275,0.0003540574989378275
2010,one of the,0.0005480817140009965,0.00024784024925647927,-0.00030024146474451726
2010,nextbus information systems,0.0,0.000283245999150262,0.000283245999150262
2010,the computational hypothesis,0.0,0.00024784024925647927,0.00024784024925647927
2010,the fact that,0.0003487792725460887,0.00010621724968134825,-0.00024256202286474044
2010,is one of,0.00029895366218236175,7.08114997875655e-05,-0.00022814216239479626
2010,the black cat,0.0001993024414549078,0.0,-0.0001993024414549078
2010,to play with,0.0001993024414549078,0.0,-0.0001993024414549078
2010,of the song,0.0001993024414549078,0.0,-0.0001993024414549078
2010,reverent toward hollywood,0.0001993024414549078,0.0,-0.0001993024414549078
2010,over the course,0.0001993024414549078,0.0,-0.0001993024414549078
2010,and reverent toward,0.0001993024414549078,0.0,-0.0001993024414549078
2010,obedient kind clean,0.0001993024414549078,0.0,-0.0001993024414549078
2010,kind clean and,0.0001993024414549078,0.0,-0.0001993024414549078
2010,one of these,0.0001993024414549078,0.0,-0.0001993024414549078
2010,clean and reverent,0.0001993024414549078,0.0,-0.0001993024414549078
2010,but this is,4.982561036372695e-05,0.00024784024925647927,0.0001980146388927523
2010,it would be,4.982561036372695e-05,0.00024784024925647927,0.0001980146388927523
2010,to do so,0.00024912805181863477,7.08114997875655e-05,-0.00017831655203106927
2010,the idea that,0.0,0.00017702874946891374,0.00017702874946891374
2010,in order to,0.0,0.00017702874946891374,0.00017702874946891374
2010,seem to be,0.0,0.00017702874946891374,0.00017702874946891374
2010,about how to,0.0,0.00017702874946891374,0.00017702874946891374
2010,some of the,0.00014947683109118088,0.00031865174904404476,0.00016917491795286388
2010,on the internet,0.0001993024414549078,3.540574989378275e-05,-0.00016389669156112506
2010,the course of,0.0001993024414549078,3.540574989378275e-05,-0.00016389669156112506
2010,it comes to,0.0001993024414549078,3.540574989378275e-05,-0.00016389669156112506
2010,in its own,0.0001993024414549078,3.540574989378275e-05,-0.00016389669156112506
2010,one of my,0.0001993024414549078,3.540574989378275e-05,-0.00016389669156112506
2011,the foreign service,0.0,0.0007927196626185116,0.0007927196626185116
2011,in the foreign,0.0,0.0004439230110663665,0.0004439230110663665
2011,the fact that,0.0003487792725460887,3.170878650474046e-05,-0.00031707048604134825
2011,one of the,0.0005480817140009965,0.0002536702920379237,-0.00029441142196307284
2011,seems to be,0.00029895366218236175,3.170878650474046e-05,-0.00026724487567762127
2011,is one of,0.00029895366218236175,3.170878650474046e-05,-0.00026724487567762127
2011,in order to,0.0,0.0002536702920379237,0.0002536702920379237
2011,in new zealand,0.0,0.0002536702920379237,0.0002536702920379237
2011,be able to,0.00029895366218236175,6.341757300948092e-05,-0.00023553608917288083
2011,the state department,0.0,0.00022196150553318325,0.00022196150553318325
2011,had to go,0.0,0.00022196150553318325,0.00022196150553318325
2011,some sort of,0.00024912805181863477,3.170878650474046e-05,-0.0002174192653138943
2011,at the end,4.982561036372695e-05,0.0002536702920379237,0.00020384468167419673
2011,the black cat,0.0001993024414549078,0.0,-0.0001993024414549078
2011,to play with,0.0001993024414549078,0.0,-0.0001993024414549078
2011,reverent toward hollywood,0.0001993024414549078,0.0,-0.0001993024414549078
2011,have no idea,0.0001993024414549078,0.0,-0.0001993024414549078
2011,and reverent toward,0.0001993024414549078,0.0,-0.0001993024414549078
2011,obedient kind clean,0.0001993024414549078,0.0,-0.0001993024414549078
