period,ngram,baseline_freq,period_freq,delta
2006-Q4,the,0.02631578947368421,0.045317220543806644,0.019001431070122435
2006-Q4,that,0.030892448512585814,0.016199604125429732,-0.014692844387156082
2006-Q4,to,0.04576659038901602,0.03213876445463069,-0.01362782593438533
2006-Q4,and,0.03318077803203661,0.0213043025315137,-0.011876475500522912
2006-Q4,me,0.012585812356979404,0.004531722054380665,-0.00805409030259874
2006-Q4,say,0.009153318077803204,0.0013022189811438692,-0.007851099096659334
2006-Q4,she,0.006864988558352402,0.00041671007396603814,-0.006448278484386364
2006-Q4,will,0.008009153318077803,0.0017189290551099072,-0.006290224262967896
2006-Q4,our,0.006864988558352402,0.00109386394416085,-0.0057711246141915525
2006-Q4,i'm,0.011441647597254004,0.005781852276278779,-0.005659795320975225
2006-Q4,things,0.006864988558352402,0.0013022189811438692,-0.005562769577208533
2006-Q4,catherine,0.005720823798627002,0.00020835503698301907,-0.005512468761643983
2006-Q4,it's,0.0011441647597254005,0.006406917387227836,0.005262752627502436
2006-Q4,her,0.005720823798627002,0.0005729763517033024,-0.0051478474469237
2006-Q4,on,0.003432494279176201,0.008073757683091988,0.004641263403915788
2006-Q4,but,0.008009153318077803,0.012501302218981145,0.004492148900903341
2006-Q4,friends,0.004576659038901602,0.00036462131472028334,-0.004212037724181318
2006-Q4,want,0.004576659038901602,0.00041671007396603814,-0.004159948964935564
2006-Q4,you,0.010297482837528604,0.006198562350244817,-0.004098920487283787
2006-Q4,blog,0.004576659038901602,0.0005208875924575477,-0.004055771446444054
2006-Q4,down,0.004576659038901602,0.000885508907177831,-0.0036911501317237706
2006-Q4,one,0.0,0.0034899468694655693,0.0034899468694655693
2006-Q4,badly,0.003432494279176201,0.0,-0.003432494279176201
2006-Q4,relationship,0.003432494279176201,5.208875924575477e-05,-0.0033804055199304463
2006-Q4,shared,0.003432494279176201,5.208875924575477e-05,-0.0033804055199304463
2006-Q4,asshole,0.003432494279176201,5.208875924575477e-05,-0.0033804055199304463
2006-Q4,electronic,0.003432494279176201,0.00010417751849150954,-0.0033283167606846915
2006-Q4,entry,0.003432494279176201,0.00010417751849150954,-0.0033283167606846915
2006-Q4,ended,0.003432494279176201,0.00010417751849150954,-0.0033283167606846915
2006-Q4,also,0.004576659038901602,0.0012501302218981144,-0.0033265288170034875
2007-Q1,the,0.02631578947368421,0.04478269073526637,0.01846690126158216
2007-Q1,that,0.030892448512585814,0.0164161268004277,-0.014476321712158114
2007-Q1,to,0.04576659038901602,0.03157431284986477,-0.014192277539151248
2007-Q1,return,0.0,0.014057487892320272,0.014057487892320272
2007-Q1,break,0.0,0.01393169381722121,0.01393169381722121
2007-Q1,and,0.03318077803203661,0.019749669790552864,-0.013431108241483747
2007-Q1,case,0.0011441647597254005,0.014277627523743631,0.013133462764018231
2007-Q1,me,0.012585812356979404,0.003805270771746651,-0.008780541585232754
2007-Q1,say,0.009153318077803204,0.0006289703754953142,-0.008524347702307889
2007-Q1,i'm,0.011441647597254004,0.0029247122460532107,-0.008516935351200794
2007-Q1,she,0.006864988558352402,0.0005031763003962513,-0.006361812257956151
2007-Q1,my,0.010297482837528604,0.0044342411472419645,-0.005863241690286639
2007-Q1,our,0.006864988558352402,0.0011006981571167998,-0.005764290401235602
2007-Q1,catherine,0.005720823798627002,6.289703754953141e-05,-0.005657926761077471
2007-Q1,things,0.006864988558352402,0.0013837348260896912,-0.005481253732262711
2007-Q1,will,0.008009153318077803,0.002578778539530788,-0.005430374778547015
2007-Q1,her,0.005720823798627002,0.0005660733379457827,-0.005154750460681219
2007-Q1,friends,0.004576659038901602,0.0003459337065224228,-0.004230725332379179
2007-Q1,it's,0.0011441647597254005,0.005094660041512045,0.003950495281786644
2007-Q1,blog,0.004576659038901602,0.0006604188942700798,-0.003916240144631522
2007-Q1,you,0.010297482837528604,0.0065098433863765015,-0.0037876394511521024
2007-Q1,want,0.004576659038901602,0.0008805585256934399,-0.003696100513208162
2007-Q1,down,0.004576659038901602,0.0009434555632429713,-0.0036332034756586303
2007-Q1,on,0.003432494279176201,0.006855777092898924,0.003423282813722723
2007-Q1,also,0.004576659038901602,0.0011635951946663311,-0.0034130638442352707
2007-Q1,relationship,0.003432494279176201,3.144851877476571e-05,-0.0034010457604014355
2007-Q1,shared,0.003432494279176201,3.144851877476571e-05,-0.0034010457604014355
2007-Q1,asshole,0.003432494279176201,3.144851877476571e-05,-0.0034010457604014355
2007-Q1,badly,0.003432494279176201,6.289703754953141e-05,-0.00336959724162667
2007-Q1,so,0.006864988558352402,0.003553682621548525,-0.003311305936803877
2007-Q2,the,0.02631578947368421,0.0492780798799925,0.02296229040630829
2007-Q2,and,0.03318077803203661,0.020026251640727546,-0.013154526391309065
2007-Q2,that,0.030892448512585814,0.018676167260453777,-0.012216281252132036
2007-Q2,to,0.04576659038901602,0.03390211888243015,-0.011864471506585865
2007-Q2,me,0.012585812356979404,0.0034877179823738984,-0.009098094374605506
2007-Q2,say,0.009153318077803204,0.0009375585974123383,-0.008215759480390866
2007-Q2,i'm,0.011441647597254004,0.0041252578286142885,-0.007316389768639716
2007-Q2,she,0.006864988558352402,0.0003375210950684418,-0.00652746746328396
2007-Q2,our,0.006864988558352402,0.0008625539096193513,-0.006002434648733051
2007-Q2,will,0.008009153318077803,0.0020251265704106505,-0.005984026747667153
2007-Q2,catherine,0.005720823798627002,3.750234389649353e-05,-0.005683321454730508
2007-Q2,things,0.006864988558352402,0.0012375773485842866,-0.005627411209768116
2007-Q2,her,0.005720823798627002,0.00030001875117194825,-0.005420805047455054
2007-Q2,it's,0.0011441647597254005,0.006412900806300394,0.005268736046574993
2007-Q2,my,0.010297482837528604,0.005212825801612601,-0.005084657035916003
2007-Q2,is,0.006864988558352402,0.01147571723232702,0.004610728673974618
2007-Q2,blog,0.004576659038901602,0.0002625164072754547,-0.004314142631626147
2007-Q2,friends,0.004576659038901602,0.00030001875117194825,-0.004276640287729653
2007-Q2,on,0.003432494279176201,0.007275454715919745,0.003842960436743544
2007-Q2,down,0.004576659038901602,0.0007875492218263642,-0.003789109817075238
2007-Q2,want,0.004576659038901602,0.0010125632852053252,-0.0035640957536962766
2007-Q2,so,0.006864988558352402,0.0034127132945809113,-0.003452275263771491
2007-Q2,shared,0.003432494279176201,0.0,-0.003432494279176201
2007-Q2,ended,0.003432494279176201,0.0,-0.003432494279176201
2007-Q2,electronic,0.003432494279176201,3.750234389649353e-05,-0.003394991935279708
2007-Q2,badly,0.003432494279176201,3.750234389649353e-05,-0.003394991935279708
2007-Q2,asshole,0.003432494279176201,3.750234389649353e-05,-0.003394991935279708
2007-Q2,relationship,0.003432494279176201,0.00011250703168948059,-0.0033199872474867207
2007-Q2,hear,0.003432494279176201,0.00015000937558597413,-0.003282484903590227
2007-Q2,know,0.004576659038901602,0.0013125820363772737,-0.003264077002524328
2007-Q3,the,0.02631578947368421,0.05007351739911779,0.023757727925433583
2007-Q3,that,0.030892448512585814,0.015765397810815228,-0.015127050701770586
2007-Q3,to,0.04576659038901602,0.03198006861623918,-0.013786521772776839
2007-Q3,and,0.03318077803203661,0.020748243751021075,-0.012432534281015536
2007-Q3,me,0.012585812356979404,0.0040842999509884004,-0.008501512405991004
2007-Q3,i'm,0.011441647597254004,0.0030632249632413003,-0.008378422634012703
2007-Q3,say,0.009153318077803204,0.0008577029897075642,-0.00829561508809564
2007-Q3,she,0.006864988558352402,0.00016337199803953602,-0.006701616560312866
2007-Q3,our,0.006864988558352402,0.000980231988237216,-0.0058847565701151865
2007-Q3,things,0.006864988558352402,0.001143603986276752,-0.00572138457207565
2007-Q3,catherine,0.005720823798627002,4.0842999509884004e-05,-0.005679980799117118
2007-Q3,will,0.008009153318077803,0.0024505799705930404,-0.005558573347484763
2007-Q3,her,0.005720823798627002,0.000245057997059304,-0.005475765801567698
2007-Q3,is,0.006864988558352402,0.011681097859826826,0.004816109301474423
2007-Q3,it's,0.0011441647597254005,0.005513804933834341,0.004369640174108941
2007-Q3,my,0.010297482837528604,0.005963077928443065,-0.004334404909085539
2007-Q3,blog,0.004576659038901602,0.000245057997059304,-0.004331601041842298
2007-Q3,friends,0.004576659038901602,0.00036758699558895604,-0.0042090720433126455
2007-Q3,down,0.004576659038901602,0.000571801993138376,-0.004004857045763225
2007-Q3,one,0.0,0.0038392419539290965,0.0038392419539290965
2007-Q3,on,0.003432494279176201,0.007065838915209933,0.0036333446360337315
2007-Q3,be,0.010297482837528604,0.006861623917660513,-0.0034358589198680905
2007-Q3,relationship,0.003432494279176201,0.0,-0.003432494279176201
2007-Q3,asshole,0.003432494279176201,0.0,-0.003432494279176201
2007-Q3,shared,0.003432494279176201,4.0842999509884004e-05,-0.0033916512796663173
2007-Q3,badly,0.003432494279176201,4.0842999509884004e-05,-0.0033916512796663173
2007-Q3,want,0.004576659038901602,0.0012252899852965202,-0.0033513690536050816
2007-Q3,electronic,0.003432494279176201,0.000122528998529652,-0.003309965280646549
2007-Q3,together,0.003432494279176201,0.000122528998529652,-0.003309965280646549
2007-Q3,said,0.003432494279176201,0.000245057997059304,-0.003187436282116897
2007-Q4,the,0.02631578947368421,0.04699666295884316,0.02068087348515895
2007-Q4,that,0.030892448512585814,0.01874304783092325,-0.012149400681662564
2007-Q4,to,0.04576659038901602,0.033815350389321465,-0.011951239999694552
2007-Q4,and,0.03318077803203661,0.02224694104560623,-0.01093383698643038
2007-Q4,me,0.012585812356979404,0.003948832035595106,-0.008636980321384298
2007-Q4,i'm,0.011441647597254004,0.0033370411568409346,-0.00810460644041307
2007-Q4,say,0.009153318077803204,0.0015016685205784205,-0.007651649557224784
2007-Q4,she,0.006864988558352402,0.0004449388209121246,-0.006420049737440278
2007-Q4,will,0.008009153318077803,0.0017797552836484984,-0.0062293980344293055
2007-Q4,catherine,0.005720823798627002,0.0,-0.005720823798627002
2007-Q4,things,0.006864988558352402,0.0012791991101223582,-0.005585789448230044
2007-Q4,my,0.010297482837528604,0.004783092324805339,-0.005514390512723265
2007-Q4,our,0.006864988558352402,0.0015016685205784205,-0.005363320037773981
2007-Q4,her,0.005720823798627002,0.0007230255839822024,-0.0049977982146448
2007-Q4,it's,0.0011441647597254005,0.006117908787541713,0.004973744027816313
2007-Q4,is,0.006864988558352402,0.01129032258064516,0.004425334022292758
2007-Q4,friends,0.004576659038901602,0.0003337041156840934,-0.004242954923217509
2007-Q4,in,0.014874141876430207,0.010845383759733037,-0.00402875811669717
2007-Q4,blog,0.004576659038901602,0.0006674082313681868,-0.003909250807533415
2007-Q4,want,0.004576659038901602,0.0008342602892102336,-0.003742398749691368
2007-Q4,down,0.004576659038901602,0.0010011123470522803,-0.0035755466918493215
2007-Q4,you,0.010297482837528604,0.006840934371523916,-0.0034565484660046882
2007-Q4,asshole,0.003432494279176201,0.0,-0.003432494279176201
2007-Q4,really,0.004576659038901602,0.0011679644048943271,-0.003408694634007275
2007-Q4,relationship,0.003432494279176201,5.5617352614015575e-05,-0.0033768769265621855
2007-Q4,shared,0.003432494279176201,5.5617352614015575e-05,-0.0033768769265621855
2007-Q4,badly,0.003432494279176201,5.5617352614015575e-05,-0.0033768769265621855
2007-Q4,ended,0.003432494279176201,5.5617352614015575e-05,-0.0033768769265621855
2007-Q4,know,0.004576659038901602,0.0012235817575083426,-0.0033530772813932593
2007-Q4,together,0.003432494279176201,0.0001668520578420467,-0.0032656422213341546
2008-Q1,the,0.02631578947368421,0.04979690879358548,0.023481119319901274
2008-Q1,to,0.04576659038901602,0.0318615814738619,-0.013905008915154116
