period,avg_paragraph_length,median_paragraph_length,min_paragraph_length,max_paragraph_length,p25_paragraph_length,p75_paragraph_length,paragraph_count
2006-09,85.72727272727273,47.0,18,436,30.0,78.5,11
2006-10,78.43820224719101,53.0,2,853,19.0,77.0,89
2006-11,123.33870967741936,82.0,3,458,39.25,149.75,62
2006-12,68.0609756097561,40.0,2,669,13.0,77.5,82
2007-01,57.74074074074074,46.0,2,1067,22.0,77.5,243
2007-02,54.0,44.0,2,404,22.0,76.0,125
2007-03,78.4327485380117,48.0,1,3844,23.0,81.0,171
2007-04,54.94764397905759,49.0,1,378,24.0,77.0,191
2007-05,52.77037037037037,43.0,2,410,19.0,69.0,135
2007-06,65.35220125786164,60.0,2,271,26.5,90.5,159
2007-07,62.91891891891892,49.0,2,663,18.0,86.0,185
2007-08,44.78095238095238,37.0,2,217,14.0,67.75,210
2007-09,65.87142857142857,52.5,2,466,26.25,81.75,70
2007-10,51.04294478527607,50.0,2,285,19.0,69.0,163
2007-11,61.83505154639175,56.0,2,288,23.0,86.0,97
2007-12,63.083333333333336,49.5,1,425,28.0,78.0,72
2008-01,72.33333333333333,69.0,2,261,37.25,101.25,84
2008-02,57.510416666666664,48.5,2,607,22.0,69.25,96
2008-03,65.09375,59.5,2,184,29.75,94.25,128
2008-04,60.87,49.5,1,502,26.75,80.0,100
2008-05,55.62931034482759,48.5,2,173,28.75,81.25,116
2008-06,66.51515151515152,59.0,2,260,32.0,83.0,165
2008-07,54.81879194630873,48.0,2,253,24.0,80.0,149
2008-08,61.708333333333336,54.0,1,174,33.0,92.25,120
2008-09,57.955882352941174,50.5,2,220,29.0,82.5,68
2008-10,54.41237113402062,49.5,2,176,21.25,79.0,194
2008-11,71.45714285714286,68.0,8,311,38.25,90.0,70
2008-12,73.98260869565217,67.0,2,346,40.0,99.0,115
2009-01,73.51724137931035,69.0,1,183,37.5,112.0,87
2009-02,63.45454545454545,65.0,4,144,29.0,89.0,33
2009-03,80.24444444444444,66.0,1,569,39.0,96.0,45
2009-04,63.5632183908046,57.0,2,255,38.0,85.5,87
2009-05,70.4390243902439,74.0,2,178,34.0,97.0,41
2009-06,89.875,83.0,8,428,48.75,117.0,56
2009-07,61.93258426966292,55.0,1,286,31.0,87.0,89
2009-08,66.48958333333333,57.5,1,210,34.0,95.25,96
2009-09,64.64788732394366,54.0,3,301,34.0,89.0,71
2009-10,64.44,57.0,5,274,31.0,85.0,75
2009-11,91.125,56.0,4,358,26.75,100.0,8
2009-12,61.666666666666664,59.5,2,165,25.75,90.75,54
2010-01,74.02197802197803,72.0,3,236,47.5,97.5,91
2010-02,54.77777777777778,47.0,2,322,22.25,75.75,90
2010-03,50.982142857142854,42.5,2,143,9.0,84.0,56
2010-04,55.05263157894737,38.5,2,337,19.0,76.0,114
2010-05,59.6875,54.0,4,140,45.75,78.25,16
2010-06,57.421052631578945,65.0,8,111,27.0,77.5,19
2010-07,57.333333333333336,38.0,6,134,32.0,77.0,9
2010-08,3.0,3.0,3,3,3.0,3.0,2
2010-09,60.285714285714285,59.5,4,97,40.25,85.75,14
2010-10,60.208333333333336,52.0,2,134,39.25,83.75,24
2010-11,110.57142857142857,87.0,47,198,68.5,152.5,7
2010-12,85.07894736842105,79.0,12,178,56.5,111.75,38
2011-01,58.87755102040816,60.0,2,181,28.0,83.0,49
2011-02,55.95636363636363,33.0,2,231,12.0,87.5,275
2011-03,42.88235294117647,34.5,3,150,12.5,67.25,34
2011-04,37.25,31.0,4,79,14.25,57.0,8
2011-05,85.55555555555556,72.0,43,157,57.0,105.0,9
2011-06,100.76923076923077,76.0,19,421,59.0,109.0,13
2011-07,47.91304347826087,50.0,5,123,20.0,66.5,23
2011-08,76.45454545454545,66.0,20,172,55.25,101.0,22
2011-09,94.96153846153847,89.0,8,191,62.5,131.75,26
2011-10,88.30952380952381,70.5,2,747,42.5,101.0,42
2011-11,66.41176470588235,70.0,5,173,40.0,89.0,17
2011-12,45.30434782608695,35.0,4,120,10.5,73.0,23
2012-01,58.15384615384615,50.0,6,162,33.0,73.0,13
2012-03,70.33333333333333,61.0,12,161,42.0,94.0,33
2012-04,57.06976744186046,46.0,2,186,26.5,77.5,43
2012-05,66.59016393442623,61.0,2,232,13.0,113.0,61
2012-06,90.8,112.0,29,142,59.0,112.0,5
2012-07,79.95652173913044,79.5,4,172,48.0,105.75,46
2012-08,72.86666666666666,72.5,9,158,42.5,100.25,30
2012-09,84.35714285714286,89.5,26,155,59.25,94.5,14
2012-10,146.16666666666666,112.5,15,459,66.25,123.5,6
2012-11,61.1578947368421,55.0,2,211,21.0,93.0,57
2012-12,58.90909090909091,58.0,7,131,35.0,77.0,33
2013-01,67.1875,54.5,5,203,36.75,90.5,64
2013-02,31.857142857142858,7.0,3,116,7.0,41.5,7
2013-03,53.592592592592595,42.0,2,304,19.25,68.75,54
2013-04,54.53333333333333,42.0,3,317,20.25,53.75,30
2013-05,58.323076923076925,49.0,2,208,28.0,74.0,65
2013-06,35.06666666666667,33.0,2,92,13.5,46.75,30
2013-07,51.39473684210526,42.0,1,167,20.0,69.25,38
2013-08,76.42857142857143,71.0,10,180,51.0,103.0,21
2013-09,25.583333333333332,15.5,2,96,5.75,29.75,12
2013-10,50.375,47.5,1,308,21.5,71.25,96
2013-11,8.0,6.5,6,13,6.0,8.5,4
