period,avg_paragraph_length,median_paragraph_length,min_paragraph_length,max_paragraph_length,p25_paragraph_length,p75_paragraph_length,paragraph_count
2006-Q3,85.72727272727273,47.0,18,436,30.0,78.5,11
2006-Q4,86.73390557939913,53.0,2,853,20.0,89.0,233
2007-Q1,63.4378478664193,46.0,1,3844,22.0,78.0,539
2007-Q2,57.75257731958763,48.0,1,410,24.0,82.0,485
2007-Q3,55.17204301075269,44.0,2,663,17.0,77.0,465
2007-Q4,56.80722891566265,50.0,1,425,20.0,75.25,332
2008-Q1,64.70454545454545,58.0,2,607,29.0,91.0,308
2008-Q2,61.71916010498688,54.0,1,502,29.0,83.0,381
2008-Q3,57.90504451038576,52.0,1,253,27.0,84.0,337
2008-Q4,63.49868073878628,58.0,2,346,28.0,86.0,379
2009-Q1,73.33939393939394,67.0,1,569,37.0,107.0,165
2009-Q2,73.10326086956522,66.5,2,428,40.0,96.25,184
2009-Q3,64.39453125,55.0,1,301,33.75,90.0,256
2009-Q4,64.9051094890511,57.0,2,358,28.0,91.0,137
2010-Q1,61.270042194092824,58.0,2,322,24.0,85.0,237
2010-Q2,55.852348993288594,45.0,2,337,21.0,77.0,149
2010-Q3,54.64,53.0,3,134,25.0,82.0,25
2010-Q4,79.01449275362319,73.0,2,198,47.0,107.0,69
2011-Q1,55.114525139664806,37.0,2,231,12.0,84.0,358
2011-Q2,79.26666666666667,72.5,4,421,39.25,99.75,30
2011-Q3,73.98591549295774,64.0,5,191,47.5,100.5,71
2011-Q4,71.70731707317073,62.5,2,747,33.0,95.0,82
2012-Q1,66.8913043478261,60.0,6,162,38.75,92.75,46
2012-Q2,63.944954128440365,54.0,2,232,24.0,102.0,109
2012-Q3,78.27777777777777,78.5,4,172,46.75,101.75,90
2012-Q4,65.69791666666667,58.0,2,459,25.25,90.25,96
2013-Q1,59.336,48.0,2,304,24.0,76.0,125
2013-Q2,51.832,45.0,2,317,21.0,68.0,125
2013-Q3,54.436619718309856,42.0,1,180,20.0,78.5,71
2013-Q4,51.13775510204081,45.0,1,453,18.0,69.0,196
2014-Q1,48.23076923076923,46.5,3,177,21.0,64.75,78
2014-Q2,98.8,63.0,10,863,45.0,93.0,25
2014-Q3,76.6842105263158,71.5,4,250,50.25,101.5,38
2014-Q4,50.62931034482759,42.5,2,375,21.0,67.0,116
2015-Q1,62.44736842105263,56.0,8,147,38.75,88.75,38
2015-Q2,51.0,32.0,4,165,23.0,66.5,27
2015-Q3,50.03225806451613,43.0,3,115,27.0,72.5,31
2015-Q4,57.26923076923077,53.0,3,106,38.0,79.25,26
2016-Q2,48.27710843373494,45.0,2,129,23.5,72.5,83
2016-Q3,76.67241379310344,64.0,2,319,45.75,93.0,58
2016-Q4,86.1,89.5,22,125,75.75,114.75,10
2017-Q1,41.666666666666664,45.0,15,65,30.0,55.0,3
2017-Q2,61.775,52.0,14,190,32.5,78.5,40
2017-Q4,100.14285714285714,73.0,47,196,65.5,127.0,7
2018-Q1,71.03448275862068,67.0,11,184,41.0,98.0,29
2020-Q3,34.14173228346457,25.0,3,121,9.0,54.5,127
2021-Q4,58.4125,48.0,3,223,24.75,79.0,80
2022-Q1,109.96078431372548,62.0,2,2345,46.0,92.0,51
2022-Q2,84.48275862068965,73.0,27,281,54.0,111.0,29
2022-Q3,67.94444444444444,69.0,5,121,52.5,91.0,18
2022-Q4,68.37037037037037,60.5,7,245,37.5,93.25,54
2023-Q1,59.41428571428571,60.5,3,193,28.0,78.25,70
2023-Q2,77.58064516129032,66.0,3,323,40.5,99.5,31
2023-Q4,87.52631578947368,79.0,34,195,50.0,120.0,19
2024-Q1,48.5,42.5,2,151,30.5,68.0,20
2024-Q2,37.88652482269504,29.0,1,150,12.0,54.0,141
2024-Q3,64.34722222222223,55.0,6,226,37.0,86.25,72
2024-Q4,59.204819277108435,57.0,2,153,32.0,77.5,83
2025-Q1,80.375,61.0,5,264,21.75,108.0,32
2025-Q2,70.84905660377359,67.0,3,220,37.0,95.0,53
2025-Q4,65.32432432432432,61.5,3,175,44.0,88.75,74
