period,avg_paragraph_length,median_paragraph_length,min_paragraph_length,max_paragraph_length,p25_paragraph_length,p75_paragraph_length,paragraph_count
2006,86.68852459016394,53.0,2,853,21.0,87.5,244
2007,58.604063701263044,48.0,1,3844,20.0,79.0,1821
2008,61.93879003558719,55.0,1,607,28.0,86.0,1405
2009,68.63746630727763,61.5,1,569,34.0,94.75,742
2010,61.79375,57.0,2,337,26.0,87.0,480
2011,61.44547134935305,50.0,2,747,17.0,88.0,541
2012,68.61876832844575,61.0,2,459,33.0,96.0,341
2013,53.74081237911025,45.0,1,453,20.0,71.0,517
2014,58.43968871595331,49.0,2,863,27.0,73.0,257
2015,55.65573770491803,51.0,3,165,28.5,75.75,122
2016,61.688741721854306,55.0,2,319,34.5,82.0,151
2017,65.94,60.5,14,196,35.0,83.5,50
2018,71.03448275862068,67.0,11,184,41.0,98.0,29
2020,34.14173228346457,25.0,3,121,9.0,54.5,127
2021,58.4125,48.0,3,223,24.75,79.0,80
2022,85.34868421052632,64.5,2,2345,45.0,94.25,152
2023,68.55833333333334,61.0,3,323,35.5,89.25,120
2024,50.186708860759495,44.0,1,226,23.0,70.0,316
2025,70.19496855345912,63.0,3,264,37.0,94.5,159
