period,total_words,post_count,avg_words_per_post,median_words_per_post,min_words_per_post,max_words_per_post
2006-09,943,2,471.5,471.5,436,507
2006-10,6981,30,232.7,166.0,9,1039
2006-11,7648,25,305.92,252.0,21,1005
2006-12,5581,22,253.6818181818182,183.5,12,963
2007-01,14037,36,389.9166666666667,186.5,7,2132
2007-02,6751,25,270.04,206.0,16,682
2007-03,13418,34,394.6470588235294,197.5,8,4074
2007-04,10501,45,233.35555555555555,167.0,6,869
2007-05,7125,35,203.57142857142858,114.0,2,903
2007-06,10394,34,305.70588235294116,292.5,5,966
2007-07,11640,39,298.46153846153845,199.0,8,1635
2007-08,9407,39,241.2051282051282,148.0,5,1715
2007-09,4614,16,288.375,174.0,11,1362
2007-10,8322,27,308.22222222222223,158.0,28,1757
2007-11,5999,21,285.6666666666667,206.0,20,1236
2007-12,4542,19,239.05263157894737,195.0,5,942
2008-01,6078,20,303.9,273.0,33,661
2008-02,5531,18,307.27777777777777,171.5,22,1112
2008-03,8335,20,416.75,228.0,21,1789
2008-04,6091,23,264.82608695652175,153.0,8,742
2008-05,6453,19,339.63157894736844,311.0,7,1146
2008-06,10976,39,281.43589743589746,209.0,5,884
2008-07,8171,36,226.97222222222223,183.5,4,766
2008-08,7415,36,205.97222222222223,88.0,13,1003
2008-09,3943,13,303.3076923076923,306.0,36,505
2008-10,10556,33,319.8787878787879,262.0,14,1636
2008-11,5004,14,357.42857142857144,324.0,29,888
2008-12,8509,15,567.2666666666667,438.0,48,1812
2009-01,6396,16,399.75,287.0,9,1409
2009-02,2094,10,209.4,213.0,4,464
2009-03,3611,14,257.92857142857144,148.5,42,1143
2009-04,5532,19,291.1578947368421,239.0,4,618
2009-05,2890,7,412.85714285714283,269.0,93,1284
2009-06,5033,14,359.5,314.5,29,821
2009-07,5514,15,367.6,307.0,46,815
2009-08,6387,17,375.70588235294116,159.0,21,1535
2009-09,4590,11,417.27272727272725,327.0,71,1397
2009-10,4833,15,322.2,310.0,52,832
2009-11,729,3,243.0,244.0,78,407
2009-12,3331,10,333.1,300.5,21,671
2010-01,6736,13,518.1538461538462,441.0,34,1849
2010-02,4942,18,274.55555555555554,151.0,7,1296
2010-03,2856,17,168.0,114.0,6,773
2010-04,6280,17,369.4117647058824,350.0,6,973
2010-05,955,4,238.75,223.0,56,453
2010-06,1091,4,272.75,314.5,13,449
2010-07,516,3,172.0,70.0,6,440
2010-08,6,1,6.0,6.0,6,6
2010-09,844,2,422.0,422.0,420,424
2010-10,1445,3,481.6666666666667,422.0,393,630
2010-11,774,1,774.0,774.0,774,774
2010-12,3233,6,538.8333333333334,607.5,62,975
2011-01,2895,5,579.0,281.0,7,1447
2011-02,15390,4,3847.5,1016.0,337,13021
2011-03,1460,3,486.6666666666667,525.0,324,611
2011-04,298,2,149.0,149.0,83,215
2011-05,770,3,256.6666666666667,184.0,102,484
2011-06,1310,2,655.0,655.0,608,702
2011-07,1103,3,367.6666666666667,347.0,5,751
2011-08,1682,3,560.6666666666666,530.0,132,1020
2011-09,2469,4,617.25,738.0,37,956
2011-10,3709,6,618.1666666666666,579.5,91,1316
2011-11,1129,3,376.3333333333333,340.0,323,466
2011-12,1042,3,347.3333333333333,290.0,277,475
2012-01,756,3,252.0,276.0,6,474
2012-03,2324,8,290.5,166.5,42,1033
2012-04,2454,5,490.8,452.0,195,969
2012-05,4064,7,580.5714285714286,466.0,51,1884
2012-06,454,1,454.0,454.0,454,454
2012-07,3678,5,735.6,479.0,363,1358
2012-08,2186,4,546.5,549.5,296,791
2012-09,1182,2,591.0,591.0,340,842
2012-10,877,1,877.0,877.0,877,877
2012-11,3487,5,697.4,562.0,26,1873
2012-12,1945,7,277.85714285714283,249.0,52,598
2013-01,4300,12,358.3333333333333,228.0,5,934
2013-02,223,6,37.166666666666664,16.0,3,116
2013-03,2899,12,241.58333333333334,12.0,3,1050
2013-04,1637,9,181.88888888888889,41.0,3,614
2013-05,3791,9,421.22222222222223,329.0,49,1066
2013-06,1052,2,526.0,526.0,512,540
2013-07,1953,13,150.23076923076923,121.0,3,539
2013-08,1605,4,401.25,125.5,10,1344
2013-09,307,3,102.33333333333333,134.0,18,155
2013-10,4842,9,538.0,490.0,5,1804
2013-11,32,4,8.0,6.5,6,13
2013-12,5156,9,572.8888888888889,298.0,6,2231
2014-01,1843,9,204.77777777777777,8.0,6,1061
2014-02,443,3,147.66666666666666,70.0,40,333
2014-03,1477,2,738.5,738.5,517,960
2014-04,299,1,299.0,299.0,299,299
2014-05,923,1,923.0,923.0,923,923
2014-06,1248,2,624.0,624.0,233,1015
2014-08,1338,1,1338.0,1338.0,1338,1338
2014-09,1576,1,1576.0,1576.0,1576,1576
2014-11,2205,2,1102.5,1102.5,334,1871
2014-12,3681,8,460.125,461.5,37,781
2015-01,2332,3,777.3333333333334,507.0,365,1460
2015-02,42,1,42.0,42.0,42,42
2015-04,1035,2,517.5,517.5,336,699
2015-06,343,2,171.5,171.5,47,296
2015-07,693,1,693.0,693.0,693,693
2015-09,858,1,858.0,858.0,858,858
2015-11,1185,1,1185.0,1185.0,1185,1185
2015-12,305,1,305.0,305.0,305,305
2016-04,1268,1,1268.0,1268.0,1268,1268
2016-05,1070,2,535.0,535.0,43,1027
2016-06,1674,3,558.0,586.0,370,718
2016-07,1609,2,804.5,804.5,778,831
2016-08,1516,2,758.0,758.0,68,1448
2016-09,1322,1,1322.0,1322.0,1322,1322
2016-11,861,1,861.0,861.0,861,861
2017-01,125,1,125.0,125.0,125,125
2017-04,2471,4,617.75,583.0,27,1278
2017-12,701,1,701.0,701.0,701,701
2018-01,2060,1,2060.0,2060.0,2060,2060
2020-07,522,1,522.0,522.0,522,522
2020-08,3820,2,1910.0,1910.0,46,3774
2021-11,4677,2,2338.5,2338.5,1641,3036
2022-01,2593,1,2593.0,2593.0,2593,2593
2022-02,3025,1,3025.0,3025.0,3025,3025
2022-04,2450,1,2450.0,2450.0,2450,2450
2022-08,1223,2,611.5,611.5,494,729
2022-10,2662,4,665.5,643.0,92,1284
2022-12,1033,2,516.5,516.5,132,901
2023-01,1089,1,1089.0,1089.0,1089,1089
2023-02,1884,2,942.0,942.0,265,1619
2023-03,1197,1,1197.0,1197.0,1197,1197
2023-04,1105,1,1105.0,1105.0,1105,1105
2023-05,1300,2,650.0,650.0,468,832
2023-10,469,1,469.0,469.0,469,469
2023-11,1195,1,1195.0,1195.0,1195,1195
2024-01,694,1,694.0,694.0,694,694
2024-03,284,2,142.0,142.0,57,227
2024-04,5380,4,1345.0,1280.5,506,2313
2024-07,1737,1,1737.0,1737.0,1737,1737
2024-08,2899,2,1449.5,1449.5,1337,1562
2024-10,857,1,857.0,857.0,857,857
2024-12,4058,3,1352.6666666666667,1165.0,742,2151
2025-02,176,1,176.0,176.0,176,176
2025-03,2396,2,1198.0,1198.0,1193,1203
2025-04,1042,1,1042.0,1042.0,1042,1042
2025-05,1452,1,1452.0,1452.0,1452,1452
2025-06,1261,1,1261.0,1261.0,1261,1261
2025-11,730,1,730.0,730.0,730,730
2025-12,4108,2,2054.0,2054.0,276,3832
