period,total_words,post_count,avg_words_per_post,median_words_per_post,min_words_per_post,max_words_per_post
2006-Q3,943,2,471.5,471.5,436,507
2006-Q4,20210,77,262.46753246753246,181.0,9,1039
2007-Q1,34206,95,360.06315789473683,195.0,7,4074
2007-Q2,28020,114,245.78947368421052,169.0,2,966
2007-Q3,25661,94,272.98936170212767,178.0,5,1715
2007-Q4,18863,67,281.53731343283584,196.0,5,1757
2008-Q1,19944,58,343.86206896551727,203.0,21,1789
2008-Q2,23520,81,290.3703703703704,214.0,5,1146
2008-Q3,19529,85,229.75294117647059,146.0,4,1003
2008-Q4,24069,62,388.2096774193548,279.0,14,1812
2009-Q1,12101,40,302.525,203.5,4,1409
2009-Q2,13455,40,336.375,269.0,4,1284
2009-Q3,16491,43,383.51162790697674,241.0,21,1535
2009-Q4,8893,28,317.60714285714283,300.5,21,832
2010-Q1,14534,48,302.7916666666667,175.5,6,1849
2010-Q2,8326,25,333.04,342.0,6,973
2010-Q3,1366,6,227.66666666666666,245.0,6,440
2010-Q4,5452,10,545.2,584.0,62,975
2011-Q1,19745,12,1645.4166666666667,531.0,7,13021
2011-Q2,2378,7,339.7142857142857,215.0,83,702
2011-Q3,5254,10,525.4,628.0,5,1020
2011-Q4,5880,12,490.0,331.5,91,1316
2012-Q1,3080,11,280.0,221.0,6,1033
2012-Q2,6972,13,536.3076923076923,454.0,51,1884
2012-Q3,7046,11,640.5454545454545,479.0,296,1358
2012-Q4,6309,13,485.3076923076923,413.0,26,1873
2013-Q1,7422,30,247.4,38.5,3,1050
2013-Q2,6480,20,324.0,301.5,3,1066
2013-Q3,3865,20,193.25,127.5,3,1344
2013-Q4,10030,22,455.90909090909093,264.0,5,2231
2014-Q1,3763,14,268.7857142857143,55.0,6,1061
2014-Q2,2470,4,617.5,611.0,233,1015
2014-Q3,2914,2,1457.0,1457.0,1338,1576
2014-Q4,5886,10,588.6,461.5,37,1871
2015-Q1,2374,4,593.5,436.0,42,1460
2015-Q2,1378,4,344.5,316.0,47,699
2015-Q3,1551,2,775.5,775.5,693,858
2015-Q4,1490,2,745.0,745.0,305,1185
2016-Q2,4012,6,668.6666666666666,652.0,43,1268
2016-Q3,4447,5,889.4,831.0,68,1448
2016-Q4,861,1,861.0,861.0,861,861
2017-Q1,125,1,125.0,125.0,125,125
2017-Q2,2471,4,617.75,583.0,27,1278
2017-Q4,701,1,701.0,701.0,701,701
2018-Q1,2060,1,2060.0,2060.0,2060,2060
2020-Q3,4342,3,1447.3333333333333,522.0,46,3774
2021-Q4,4677,2,2338.5,2338.5,1641,3036
2022-Q1,5618,2,2809.0,2809.0,2593,3025
2022-Q2,2450,1,2450.0,2450.0,2450,2450
2022-Q3,1223,2,611.5,611.5,494,729
2022-Q4,3695,6,615.8333333333334,643.0,92,1284
2023-Q1,4170,4,1042.5,1143.0,265,1619
2023-Q2,2405,3,801.6666666666666,832.0,468,1105
2023-Q4,1664,2,832.0,832.0,469,1195
2024-Q1,978,3,326.0,227.0,57,694
2024-Q2,5380,4,1345.0,1280.5,506,2313
2024-Q3,4636,3,1545.3333333333333,1562.0,1337,1737
2024-Q4,4915,4,1228.75,1011.0,742,2151
2025-Q1,2572,3,857.3333333333334,1193.0,176,1203
2025-Q2,3755,3,1251.6666666666667,1261.0,1042,1452
2025-Q4,4838,3,1612.6666666666667,730.0,276,3832
