period,total_words,post_count,avg_words_per_post,median_words_per_post,min_words_per_post,max_words_per_post
2006,21153,79,267.75949367088606,186.0,9,1039
2007,106750,370,288.5135135135135,184.0,2,4074
2008,87062,286,304.4125874125874,209.0,4,1812
2009,50940,151,337.35099337748346,250.0,4,1535
2010,29678,89,333.46067415730334,258.0,6,1849
2011,33257,41,811.1463414634146,466.0,5,13021
2012,23407,48,487.6458333333333,417.0,6,1884
2013,27797,92,302.14130434782606,144.5,3,2231
2014,15033,30,501.1,348.0,6,1871
2015,6793,12,566.0833333333334,436.0,42,1460
2016,9320,12,776.6666666666666,804.5,43,1448
2017,3297,6,549.5,498.0,27,1278
2018,2060,1,2060.0,2060.0,2060,2060
2020,4342,3,1447.3333333333333,522.0,46,3774
2021,4677,2,2338.5,2338.5,1641,3036
2022,12986,11,1180.5454545454545,790.0,92,3025
2023,8239,9,915.4444444444445,1089.0,265,1619
2024,15909,14,1136.357142857143,1011.0,57,2313
2025,11165,9,1240.5555555555557,1193.0,176,3832
